datetime,latitude,NS,longitude,EW,altitude,speed,direction
18-8-6_6:59:55.300,3958.7181,N,11629.8385,Unknown,25.4,8.37,185.21
18-8-6_6:59:55.400,3958.7179,N,11629.8384,Unknown,25.4,8.44,185.26
18-8-6_6:59:55.500,3958.7176,N,11629.8384,Unknown,25.3,8.45,185.60
18-8-6_6:59:55.600,3958.7174,N,11629.8384,Unknown,25.3,8.67,186.41
18-8-6_6:59:55.700,3958.7172,N,11629.8383,Unknown,25.2,8.70,186.77
18-8-6_6:59:55.800,3958.7169,N,11629.8383,Unknown,25.2,8.65,187.43
18-8-6_6:59:55.900,3958.7167,N,11629.8383,Unknown,25.1,8.59,188.45
18-8-6_6:59:56.0,3958.7165,N,11629.8382,Unknown,25.1,8.80,188.70
18-8-6_6:59:56.100,3958.7162,N,11629.8382,Unknown,25.1,8.76,188.97
18-8-6_6:59:56.200,3958.7160,N,11629.8381,Unknown,25.0,8.75,188.75
18-8-6_6:59:56.300,3958.7157,N,11629.8381,Unknown,25.0,8.74,188.41
18-8-6_6:59:56.400,3958.7155,N,11629.8380,Unknown,24.9,8.75,188.19
18-8-6_6:59:56.500,3958.7153,N,11629.8380,Unknown,24.9,8.70,188.50
18-8-6_6:59:56.600,3958.7150,N,11629.8379,Unknown,24.8,8.66,188.59
18-8-6_6:59:56.700,3958.7148,N,11629.8379,Unknown,24.8,8.32,188.87
18-8-6_6:59:56.800,3958.7146,N,11629.8378,Unknown,24.8,8.49,188.22
18-8-6_6:59:56.900,3958.7143,N,11629.8378,Unknown,24.7,8.45,187.59
18-8-6_6:59:57.0,3958.7141,N,11629.8378,Unknown,24.7,8.40,186.90
18-8-6_6:59:57.100,3958.7139,N,11629.8377,Unknown,24.6,8.36,186.29
18-8-6_6:59:57.200,3958.7136,N,11629.8377,Unknown,24.6,8.00,186.48
18-8-6_6:59:57.300,3958.7134,N,11629.8377,Unknown,24.6,8.23,186.14
18-8-6_6:59:57.400,3958.7132,N,11629.8376,Unknown,24.5,8.06,186.02
18-8-6_6:59:57.500,3958.7130,N,11629.8376,Unknown,24.5,8.06,185.85
18-8-6_6:59:57.600,3958.7127,N,11629.8376,Unknown,24.4,7.99,185.97
18-8-6_6:59:57.700,3958.7125,N,11629.8375,Unknown,24.4,7.95,185.87
18-8-6_6:59:57.800,3958.7123,N,11629.8375,Unknown,24.4,7.90,186.24
18-8-6_6:59:57.900,3958.7121,N,11629.8375,Unknown,24.3,8.09,186.12
18-8-6_6:59:58.0,3958.7119,N,11629.8374,Unknown,24.3,8.09,186.51
18-8-6_6:59:58.100,3958.7116,N,11629.8374,Unknown,24.2,8.16,187.10
18-8-6_6:59:58.200,3958.7114,N,11629.8374,Unknown,24.2,8.52,187.43
18-8-6_6:59:58.300,3958.7112,N,11629.8373,Unknown,24.1,8.56,188.29
18-8-6_6:59:58.400,3958.7109,N,11629.8373,Unknown,24.1,8.58,188.84
18-8-6_6:59:58.500,3958.7107,N,11629.8372,Unknown,24.1,8.63,189.38
18-8-6_6:59:58.600,3958.7105,N,11629.8372,Unknown,24.0,8.89,190.23
18-8-6_6:59:58.700,3958.7102,N,11629.8371,Unknown,24.0,9.10,191.12
18-8-6_6:59:58.800,3958.7100,N,11629.8370,Unknown,23.9,8.94,191.83
18-8-6_6:59:58.900,3958.7097,N,11629.8370,Unknown,23.9,9.22,192.22
18-8-6_6:59:59.0,3958.7095,N,11629.8369,Unknown,23.9,9.18,191.61
18-8-6_6:59:59.100,3958.7092,N,11629.8369,Unknown,23.8,9.23,191.03
18-8-6_6:59:59.200,3958.7090,N,11629.8368,Unknown,23.8,9.17,191.13
18-8-6_6:59:59.300,3958.7087,N,11629.8367,Unknown,23.7,9.38,191.24
18-8-6_6:59:59.400,3958.7085,N,11629.8367,Unknown,23.7,9.06,191.18
18-8-6_6:59:59.500,3958.7082,N,11629.8366,Unknown,23.6,9.31,191.69
18-8-6_6:59:59.600,3958.7080,N,11629.8365,Unknown,23.6,9.34,191.58
18-8-6_6:59:59.700,3958.7077,N,11629.8365,Unknown,23.5,9.57,191.25
18-8-6_6:59:59.800,3958.7074,N,11629.8364,Unknown,23.5,9.59,191.18
18-8-6_6:59:59.900,3958.7072,N,11629.8363,Unknown,23.5,9.59,191.15
18-8-6_7:0:0.0,3958.7069,N,11629.8363,Unknown,23.4,9.62,190.89
18-8-6_7:0:0.100,3958.7067,N,11629.8362,Unknown,23.4,9.68,190.55
18-8-6_7:0:0.200,3958.7064,N,11629.8361,Unknown,23.3,9.63,190.11
18-8-6_7:0:0.300,3958.7061,N,11629.8361,Unknown,23.3,9.65,190.08
18-8-6_7:0:0.400,3958.7059,N,11629.8360,Unknown,23.2,9.36,189.33
18-8-6_7:0:0.500,3958.7056,N,11629.8360,Unknown,23.2,9.37,188.84
18-8-6_7:0:0.600,3958.7054,N,11629.8359,Unknown,23.1,9.62,188.46
18-8-6_7:0:0.700,3958.7051,N,11629.8359,Unknown,23.1,9.41,188.56
18-8-6_7:0:0.800,3958.7048,N,11629.8358,Unknown,23.0,9.42,188.49
18-8-6_7:0:0.900,3958.7046,N,11629.8358,Unknown,23.0,9.44,188.92
18-8-6_7:0:1.0,3958.7043,N,11629.8357,Unknown,22.9,9.68,188.54
18-8-6_7:0:1.100,3958.7040,N,11629.8357,Unknown,22.9,9.68,188.44
18-8-6_7:0:1.200,3958.7038,N,11629.8356,Unknown,22.8,9.72,188.04
18-8-6_7:0:1.300,3958.7035,N,11629.8356,Unknown,22.8,9.70,188.13
18-8-6_7:0:1.400,3958.7032,N,11629.8355,Unknown,22.7,9.73,188.28
18-8-6_7:0:1.500,3958.7030,N,11629.8354,Unknown,22.7,9.74,188.61
18-8-6_7:0:1.600,3958.7027,N,11629.8354,Unknown,22.6,9.74,188.78
18-8-6_7:0:1.700,3958.7024,N,11629.8353,Unknown,22.6,9.75,188.77
18-8-6_7:0:1.800,3958.7022,N,11629.8353,Unknown,22.5,9.93,188.41
18-8-6_7:0:1.900,3958.7019,N,11629.8352,Unknown,22.5,9.66,188.86
18-8-6_7:0:2.0,3958.7016,N,11629.8352,Unknown,22.4,9.97,188.77
